372.57,370.47,369.74,371.05,375.54,386.46,401.5,423.45,450.94,481.18,511.76,538.14,558.58,569.41,576.77,582.89,589.53,388.03,403.12,422.39,438.24,450.66,494.06,512.89,530.11,548.63,561.47,467.78,463.41,458.78,454.82,430.65,442.75,456.78,471.47,485.14,409.17,416.75,428.44,439.69,429.35,417.48,501.09,511.96,523.33,533.01,522.62,510.68,413.02,428.37,441.15,455.13,473.28,488.02,506.21,486.72,471.42,453.93,439.39,426.52,418.67,440.38,454.42,472.07,501.02,472.05,454.8,441.1,547.43,575.25,602.76,630.6,658.64,682.48,703.74,718.3,724.71,722.38,714.81,704.54,684.6,660.43,633.47,604.77,577.61,515.54,503.86,507.26,516.97,528.19,531.98,525.84,522.42,522.22,532.4,550.2,571.01,590.57,611.14,615.94,621.21,624.77,621.86,620.25,553.7,551.05,551.82,554.97,557.69,556.8,560.65,559.66,563.88,567.67,569.09,566.47,652.77,646.14,645.83,650.25,649.5,651.4,660.91,663.43,665.11,665.47,662.94,658.84,653.82,653.47,656.25,657.01,660.18,655.04,654.69,652.21
347.74,345.6,345.74,347.89,351.82,358.48,367.77,383.73,404.96,431.44,460.8,485,504.21,516.22,525.44,533.92,541.49,365.92,379.5,394.41,407.22,419.35,451.21,467.98,484.45,501.69,515.69,430.3,425.82,420.97,416.35,403.42,410.17,418.18,428.3,438.3,381.64,388.9,399.76,406.62,398.64,388.56,463.76,472.56,482.07,490.2,483.05,472.51,381.04,391.56,402.86,412.54,425.15,435.61,448.99,433.69,422.12,409.94,399.62,389.43,386.11,402.02,411.55,423.94,443.56,422.98,410.96,401.61,537.2,559.17,583.43,607.32,630.56,652.45,673.15,687.56,695.18,694.42,690.69,682.28,663.35,640.12,614.93,588.85,564.61,505.41,497.12,502.93,510.79,518.72,520.31,514.92,510.95,512.85,522.54,536.67,551.47,565.96,581.43,589.99,593.71,596.01,595.5,596.62,537.68,534.34,535.24,539.33,542.65,541.82,545.85,543.31,545.33,549.71,553.71,552.58,631.22,624.07,622.78,626.14,626.4,629.8,641.35,642.41,641.82,641.51,639.16,635.92,631.17,630.52,632.9,634.75,639.86,633.1,632.01,630.29
317.71,316.14,312.85,311.36,317.73,330.35,347.04,367.31,388.63,408.66,424.26,440.77,452.63,460.34,464.56,470.64,475.87,339.72,353.5,366.74,379.45,391.25,410.54,424.83,439.13,453.94,466.83,402.19,401.16,400.41,399.46,380.32,388.43,396.57,404.76,412.59,354.9,364.32,372.47,380.44,372.06,363.75,421.12,430.82,438.5,445.33,438.33,430.15,368.45,381.16,389.37,395.8,403.21,413.26,422.45,413.18,402.45,394.94,388.21,380.67,372.09,388.58,394.88,402.39,419.72,403.1,395.82,389.55,497.23,516.66,536.27,557.42,575.75,590.89,604.4,615.3,621.26,621.48,615.2,604.8,590,572.05,551.94,532.65,514.73,488.02,488.38,491.97,495.81,502.02,503.59,498.1,496.64,497.7,504.3,513.86,523.7,533.61,544.22,552.28,556.74,561.43,560.36,558.01,508.75,510.59,511.11,513.3,514.26,513.46,521.79,522.94,524.69,524.99,526.51,525.16,572.24,573.53,574.28,578.38,577.26,580.47,585.5,587.18,589.8,589.14,587,581.45,574.12,578.75,581.87,582.74,584.54,584.33,582.95,579.24
290.29,289.42,288.57,288.05,290.86,298.07,307.82,321.78,337.94,351.01,367.71,381.74,390.76,395.7,398.57,401.6,403.58,313.25,323.9,334.18,344.18,354.57,368.67,378.45,388.3,396.39,401.49,360.04,359.55,359.23,358.93,340.29,347.14,353.84,359.48,364.99,323.08,329.58,335.84,341.22,334.29,327.8,371.55,377.67,383.46,387.86,382.93,377.48,321.42,332.42,344.02,349.36,355.85,363.74,367.54,361.04,352.65,346.38,340.16,330.01,324.96,342.39,348.3,354.46,365.14,354.07,347.96,342.41,486.6,501.97,518.17,532.78,547.5,561.79,573.91,582.9,587.71,588.25,582.11,572.43,559.95,546.59,534.29,522.93,512.41,478.91,477.02,479.07,482.09,487.46,493.69,493.88,495.9,499,504.75,501.96,509.58,517.37,525.98,530.17,534.87,539.39,539.32,538.29,492.15,490.87,492.86,498.59,497.38,495.64,508.31,506.75,508.31,512,512.22,510.76,550.08,549.16,551.31,554.21,553.96,557.16,561.98,564.56,564.76,563.58,561.7,557.36,550.93,556.09,557.77,558.94,560.98,558.13,557.08,555.22
239.93,243.68,249.63,255.45,262.67,274.64,287.92,299.96,311.71,322.1,331.15,340.46,349.86,355.27,356.76,358.97,359.44,252.03,258.55,267.88,278.42,287.33,308.13,317.99,328.24,338.1,348.37,300.14,301.63,303.47,305.02,291.51,297.8,304.73,310.49,316.08,264.1,271.12,278.56,283.49,279.24,271.43,316.75,323.42,330.49,337.29,331.69,324.35,280.8,290.25,297.88,304.26,310.33,319.03,327.38,319.79,311.79,304.69,298.39,290.31,283.93,298.85,304.89,311.43,324.64,310.31,303.89,297.94,507.74,523.88,539.37,554.21,568.32,578.94,587.64,591.79,590.98,586.86,577.44,565.91,553.53,539.68,525.12,510.93,495.57,506.87,500.83,497.27,496.25,497.97,491.9,486.48,484.17,483.89,485.46,506.47,518.94,531.63,543.71,549.57,550.47,551.11,548.06,545.66,514.36,511.05,509.1,511.14,514.46,516.23,503.82,498.62,497.25,498.69,502.93,504.01,571.59,568.93,566.93,567.76,564.87,563.83,563.19,568.35,573.85,576.16,576.23,574.61,571.66,571.75,571.43,569.25,563.54,565.17,567.6,567.97
244.66,242.83,241.49,241.81,246.68,254.21,263.39,275.37,287.98,298.27,305.64,313.09,319.86,324.81,327.95,330.11,332.09,272.71,280.87,289.31,298.34,307,314.5,320.76,327.08,332.45,334.77,310.05,310.68,311.77,312.77,295.03,301.26,307.14,312.02,316.21,280.19,286.19,291.75,294.05,290.76,285.73,315.5,320.24,324.88,326.57,324.01,320.04,280.22,288.8,298.12,302.15,306.66,311.17,309.72,308.66,302.76,298.15,293.73,285.18,283.14,297.44,301.44,305.52,307.96,303.72,299.23,295.1,483.98,498.01,513.21,527.18,540.11,552.37,562.5,568.9,572.27,569.55,560.35,550.36,538.89,527.99,516.66,506.34,497.21,482.62,479.86,478.07,478.98,481.12,481.57,480.74,481.41,483.21,487.2,492.45,498.23,503.95,510.05,517.89,519.92,522.32,521.54,519.75,491.07,489.72,489.71,492.4,493.63,493.09,494.65,492.94,493.38,495.75,496.97,496.59,539.93,534.2,532.39,534.01,533.04,535.94,543.19,548.44,551.74,552.48,551.65,548.64,539.84,535.9,536.38,536.33,542.88,545.4,546.48,546.08
256.65,256.85,256.85,256.81,256.78,256.62,256.03,255.02,253.66,252.08,250.11,248.65,247.42,246.6,246.22,245.9,245.63,256.41,256.02,255.46,254.83,254.08,251.65,250.64,249.6,248.59,247.59,253.16,253.39,253.66,253.95,254.1,253.9,253.52,253.03,252.62,255.73,255.15,254.55,254.03,254.62,255.15,250.86,250.31,249.69,249.02,249.64,250.25,254.97,254.45,253.89,253.51,253,252.07,251.13,252.18,253.13,253.63,254.07,254.58,254.68,253.9,253.52,253.09,251.36,253.15,253.61,253.99,461.07,459.89,458.76,457.58,456.25,454.83,453.44,452.38,451.94,451.88,452.16,453.15,454.3,455.77,457.36,459.1,460.95,463.85,464.22,464.29,464.21,464.05,464.01,464.36,464.36,463.91,463.5,462.62,461.43,460.25,458.93,458.41,458.06,457.73,457.94,458.13,462.26,462.57,462.57,462.44,462.18,462.15,462.25,462.44,462.4,462.08,462.02,462.03,455.46,456,456.25,456.09,456.21,455.93,455.32,454.91,454.85,454.82,454.9,455.12,455.4,455.75,455.65,455.67,455.41,455.49,455.52,455.57
258.64,258.24,257.63,256.98,256.38,255.54,254.68,253.53,252.36,250.97,249.68,248.56,247.66,247.07,246.99,247.22,247.42,259.34,259.26,258.53,257.58,256.64,255.45,254.07,252.43,250.78,249.54,255.93,255.95,255.93,255.94,256.4,255.79,255.17,254.43,253.73,258.45,257.99,257.37,256.71,257.23,257.87,253.6,252.96,252.07,251.09,251.93,252.79,255.51,255.56,255.28,254.69,254.06,253.1,251.93,252.78,253.53,254.15,254.7,255.22,255.29,255.02,254.45,253.84,252.33,253.89,254.5,255.02,486.09,484.42,482.7,481.2,479.74,478.65,477.74,477.41,477.58,477.92,478.72,479.94,481.23,482.86,484.6,486.57,488.45,486.86,487.83,488.56,488.94,488.99,489.16,489.74,489.94,489.77,488.99,487.88,486.77,485.65,484.47,483.12,483.01,483.05,483.31,483.59,486.68,487.28,487.48,487.32,486.88,486.6,488.19,488.76,488.84,488.66,488.31,488.22,479.84,480.69,481.18,481.13,481.48,481.32,480.96,480.7,480.31,480.07,479.88,479.78,480.08,480.46,480.54,480.77,480.96,481.15,480.88,480.74
259.07,259.27,259.13,258.96,258.72,258.34,257.52,256.42,254.93,253.25,251.48,250.32,249.43,248.93,248.84,248.77,248.85,259.17,258.82,258.14,257.47,256.79,256.17,254.96,253.61,252.27,251.02,256.34,256.4,256.51,256.6,257.22,256.82,256.28,255.6,254.91,258.51,258.05,257.42,256.92,257.43,257.96,254.45,253.76,253.1,252.41,253,253.72,257.3,257,256.44,255.86,255.18,254.16,252.83,254.03,255.03,255.74,256.33,256.92,257.15,256.4,255.82,255.18,253.01,255.18,255.83,256.41,486.26,484.93,483.6,482.15,480.61,479.09,477.85,477.12,477.05,477.13,477.96,479.34,480.8,482.42,484.01,485.65,487.16,488.16,488.66,488.74,488.68,488.52,488.98,489.61,489.89,489.91,489.38,487.63,486.38,485.15,483.85,483.34,482.92,482.75,482.95,483.19,487.1,487.41,487.49,487.36,486.98,486.88,487.69,488.08,488.17,487.99,487.63,487.52,480.5,480.86,480.94,480.88,481.11,481.09,480.81,480.38,480.2,480.16,480.13,480.26,480.55,480.67,480.64,480.76,480.8,480.82,480.69,480.72
266.8,267.04,267.22,267.09,265.97,264.16,261.71,258.85,256.37,254.62,253.06,251.62,250.06,248.72,247.89,247.39,247.05,261.28,259.79,257.96,256.36,254.66,250.58,249.2,247.7,246.38,245.9,252.75,252.55,252.27,252,255.18,254.01,253.23,252.34,251.62,259.92,258.38,257.07,256.27,257.38,258.62,250.95,249.77,248.56,247.69,248.45,249.61,258.95,256.9,255.27,254.48,253.76,252.85,252.49,253.23,254.35,255.12,255.95,257.46,258.08,255.41,254.72,254,252.83,254.07,254.81,255.52,487.05,484.11,481.36,478.82,476.26,474.18,472.62,471.49,471.04,471.67,472.85,474.04,475.38,477.22,479.47,481.71,483.91,487.19,487.73,488.16,488.13,487.39,487.61,488.3,488.48,488.16,487.3,484.55,482.92,481.33,479.6,477.64,477.44,477.39,477.4,477.67,484.27,484.83,484.77,483.92,483.58,483.73,484.14,485.4,485.47,484.77,484.17,484.05,474.23,474.76,475.16,474.96,475.26,474.97,474.13,473.58,473,472.78,472.74,473.3,474.2,474.25,474.19,474.39,474.18,474.28,474.06,473.95
